ElapsedTime_s,Height_km,Latitude_deg,LongitudeE_deg,TotalRadius_km,LatitudeRadius_km,Gravity_ms2,Temperature_K,Pressure_Pa,Density_kgm3,PressureScaleHeight_km,DensityScaleHeight_km,SpeedOfSound_ms,PressureAtSurface_Pa,SigmaLevel,PressureAltitude_km,ReferenceTemperature_K,ReferencePressure_Pa,ReferenceDensity_kgm3,ProfileWeight,LowDensity_kgm3,HighDensity_kgm3,PerturbedDensity_kgm3,DensityPerturbation_pct,DensityStandardDeviation_pct,PerturbedSpeedOfSound_ms,RelativeStepSize,DensityDeviation_pct,LowDensityDeviation_pct,HighDensityDeviation_pct,PerturbedDensityDeviation_pct,EWWind_ms,NSWind_ms,EWWindPerturbation_ms,NSWindPerturbation_ms,PerturbedEWWind_ms,PerturbedNSWind_ms,EWStandardDeviation_ms,NSStandardDeviation_ms,LongitudeOfTheSun,SubsolarLatitude_deg,SubsolarLongitudeE_deg,LocalSolarTime_hr,SolarZenithAngle_deg,OneWayLightTime_min,OrbitalRadius_AU,SecondsPerSol,TotalNumberDensity_m3,SpecificGasConstant_JkgK,SpecificHeatRatio,AverageMolecularWeight,CompressibilityFactor,H2nd_m3,H2mass_pct,H2mole_pct,H2amw,Hend_m3,Hemass_pct,Hemole_pct,Heamw,CH4nd_m3,CH4mass_pct,CH4mole_pct,CH4amw,
10.0,500.000,25.00,25.00,25951.308,25451.308,8.404,219.1,2.328e-01,2.838e-07,39.739,25.044,1088.9,1.000e+05,0.000,515.448,219.1,2.328e-01,2.838e-07,0.0,2.580e-07,3.121e-07,2.950e-07,4.0,9.55,1068.0,0.00,0.0,-9.1,10.0,4.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,48.42,46.51,42.01,13.13,25.57,171.92,19.81,62064.0,7.6841e+19,3.745e+03,1.446e+00,2.224,1.0015,6.8980e+19,81.54,89.77,2.02,7.8532e+18,18.38,10.22,4.00,7.6841e+15,0.07,0.01,16.04,
20.0,500.000,25.00,50.00,25951.308,25451.308,8.404,219.1,2.328e-01,2.838e-07,39.739,25.044,1088.9,1.000e+05,0.000,515.448,219.1,2.328e-01,2.838e-07,0.0,2.580e-07,3.121e-07,3.126e-07,10.2,9.55,1037.4,3722.47,0.0,-9.1,10.0,10.2,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,48.42,46.51,42.07,11.47,22.68,171.92,19.81,62064.0,7.6841e+19,3.745e+03,1.446e+00,2.224,1.0015,6.8980e+19,81.54,89.77,2.02,7.8532e+18,18.38,10.22,4.00,7.6841e+15,0.07,0.01,16.04,
30.0,500.000,25.00,75.00,25951.308,25451.308,8.404,219.1,2.328e-01,2.838e-07,39.739,25.044,1088.9,1.000e+05,0.000,515.448,219.1,2.328e-01,2.838e-07,0.0,2.580e-07,3.121e-07,2.731e-07,-3.8,9.55,1110.1,3722.47,0.0,-9.1,10.0,-3.8,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,48.42,46.51,42.13,9.81,33.71,171.92,19.81,62064.0,7.6841e+19,3.745e+03,1.446e+00,2.224,1.0015,6.8980e+19,81.54,89.77,2.02,7.8532e+18,18.38,10.22,4.00,7.6841e+15,0.07,0.01,16.04,
40.0,500.000,50.00,25.00,25710.195,25210.195,8.623,219.1,2.328e-01,2.838e-07,39.739,25.044,1088.9,1.000e+05,0.000,515.448,219.1,2.328e-01,2.838e-07,0.0,2.580e-07,3.121e-07,2.699e-07,-4.9,9.55,1116.5,9300.31,0.0,-9.1,10.0,-4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.42,46.51,42.19,13.15,11.64,171.92,19.81,62064.0,7.6841e+19,3.745e+03,1.446e+00,2.224,1.0015,6.8980e+19,81.54,89.77,2.02,7.8532e+18,18.38,10.22,4.00,7.6841e+15,0.07,0.01,16.04,
50.0,500.000,50.00,50.00,25710.195,25210.195,8.623,219.1,2.328e-01,2.838e-07,39.739,25.044,1088.9,1.000e+05,0.000,515.448,219.1,2.328e-01,2.838e-07,0.0,2.580e-07,3.121e-07,3.018e-07,6.4,9.55,1055.9,2615.59,0.0,-9.1,10.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.42,46.51,42.25,11.48,6.10,171.92,19.81,62064.0,7.6841e+19,3.745e+03,1.446e+00,2.224,1.0015,6.8980e+19,81.54,89.77,2.02,7.8532e+18,18.38,10.22,4.00,7.6841e+15,0.07,0.01,16.04,
60.0,500.000,50.00,75.00,25710.195,25210.195,8.623,219.1,2.328e-01,2.838e-07,39.739,25.044,1088.9,1.000e+05,0.000,515.448,219.1,2.328e-01,2.838e-07,0.0,2.580e-07,3.121e-07,3.349e-07,18.0,9.55,1002.4,2615.59,0.0,-9.1,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.42,46.51,42.30,9.82,21.30,171.92,19.81,62064.0,7.6841e+19,3.745e+03,1.446e+00,2.224,1.0015,6.8980e+19,81.54,89.77,2.02,7.8532e+18,18.38,10.22,4.00,7.6841e+15,0.07,0.01,16.04,
70.0,500.000,75.00,25.00,25511.001,25011.001,8.805,219.1,2.328e-01,2.838e-07,39.739,25.044,1088.9,1.000e+05,0.000,515.448,219.1,2.328e-01,2.838e-07,0.0,2.580e-07,3.121e-07,2.865e-07,1.0,9.55,1083.6,6127.63,0.0,-9.1,10.0,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,48.42,46.51,42.36,13.16,28.73,171.92,19.81,62064.0,7.6841e+19,3.745e+03,1.446e+00,2.224,1.0015,6.8980e+19,81.54,89.77,2.02,7.8532e+18,18.38,10.22,4.00,7.6841e+15,0.07,0.01,16.04,
80.0,500.000,75.00,50.00,25511.001,25011.001,8.805,219.1,2.328e-01,2.838e-07,39.739,25.044,1088.9,1.000e+05,0.000,515.448,219.1,2.328e-01,2.838e-07,0.0,2.580e-07,3.121e-07,2.670e-07,-5.9,9.55,1122.5,1045.01,0.0,-9.1,10.0,-5.9,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,48.42,46.51,42.42,11.49,27.99,171.92,19.81,62064.0,7.6841e+19,3.745e+03,1.446e+00,2.224,1.0015,6.8980e+19,81.54,89.77,2.02,7.8532e+18,18.38,10.22,4.00,7.6841e+15,0.07,0.01,16.04,
90.0,500.000,75.00,75.00,25511.001,25011.001,8.805,219.1,2.328e-01,2.838e-07,39.739,25.044,1088.9,1.000e+05,0.000,515.448,219.1,2.328e-01,2.838e-07,0.0,2.580e-07,3.121e-07,3.231e-07,13.9,9.55,1020.4,1045.01,0.0,-9.1,10.0,13.9,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.42,46.51,42.48,9.83,30.87,171.92,19.81,62064.0,7.6841e+19,3.745e+03,1.446e+00,2.224,1.0015,6.8980e+19,81.54,89.77,2.02,7.8532e+18,18.38,10.22,4.00,7.6841e+15,0.07,0.01,16.04,
100.0,450.000,25.00,25.00,25901.308,25451.308,8.438,162.7,5.773e-01,9.879e-07,63.681,56.593,934.7,1.000e+05,0.000,768.145,162.7,5.773e-01,9.879e-07,0.0,8.981e-07,1.087e-06,9.438e-07,-4.5,9.55,956.3,15720.05,0.0,-9.1,10.0,-4.5,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.42,46.51,42.54,13.17,25.78,171.92,19.81,62064.0,2.5661e+20,3.591e+03,1.495e+00,2.318,1.0014,2.1809e+20,74.05,84.99,2.02,3.8490e+19,25.88,15.00,4.00,2.5660e+16,0.07,0.01,16.04,
110.0,450.000,25.00,50.00,25901.308,25451.308,8.438,162.7,5.773e-01,9.879e-07,63.681,56.593,934.7,1.000e+05,0.000,768.145,162.7,5.773e-01,9.879e-07,0.0,8.981e-07,1.087e-06,8.611e-07,-12.8,9.55,1001.2,3715.30,0.0,-9.1,10.0,-12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.42,46.51,42.59,11.51,22.57,171.92,19.81,62064.0,2.5661e+20,3.591e+03,1.495e+00,2.318,1.0014,2.1809e+20,74.05,84.99,2.02,3.8490e+19,25.88,15.00,4.00,2.5660e+16,0.07,0.01,16.04,
120.0,450.000,25.00,75.00,25901.308,25451.308,8.438,162.7,5.773e-01,9.879e-07,63.681,56.593,934.7,1.000e+05,0.000,768.145,162.7,5.773e-01,9.879e-07,0.0,8.981e-07,1.087e-06,8.155e-07,-17.5,9.55,1028.8,3715.30,0.0,-9.1,10.0,-17.5,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,48.42,46.51,42.65,9.84,33.40,171.92,19.81,62064.0,2.5661e+20,3.591e+03,1.495e+00,2.318,1.0014,2.1809e+20,74.05,84.99,2.02,3.8490e+19,25.88,15.00,4.00,2.5660e+16,0.07,0.01,16.04,
130.0,450.000,50.00,25.00,25660.195,25210.195,8.658,162.7,5.773e-01,9.879e-07,63.681,56.593,934.7,1.000e+05,0.000,768.145,162.7,5.773e-01,9.879e-07,0.0,8.981e-07,1.087e-06,1.071e-06,8.4,9.55,897.9,9282.23,0.0,-9.1,10.0,8.4,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.42,46.51,42.71,13.18,11.96,171.92,19.81,62064.0,2.5661e+20,3.591e+03,1.495e+00,2.318,1.0014,2.1809e+20,74.05,84.99,2.02,3.8490e+19,25.88,15.00,4.00,2.5660e+16,0.07,0.01,16.04,
140.0,450.000,50.00,50.00,25660.195,25210.195,8.658,162.7,5.773e-01,9.879e-07,63.681,56.593,934.7,1.000e+05,0.000,768.145,162.7,5.773e-01,9.879e-07,0.0,8.981e-07,1.087e-06,9.567e-07,-3.2,9.55,949.9,2610.50,0.0,-9.1,10.0,-3.2,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.42,46.51,42.77,11.52,5.83,171.92,19.81,62064.0,2.5661e+20,3.591e+03,1.495e+00,2.318,1.0014,2.1809e+20,74.05,84.99,2.02,3.8490e+19,25.88,15.00,4.00,2.5660e+16,0.07,0.01,16.04,
150.0,450.000,50.00,75.00,25660.195,25210.195,8.658,162.7,5.773e-01,9.879e-07,63.681,56.593,934.7,1.000e+05,0.000,768.145,162.7,5.773e-01,9.879e-07,0.0,8.981e-07,1.087e-06,1.043e-06,5.5,9.55,909.9,2610.50,0.0,-9.1,10.0,5.5,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.42,46.51,42.83,9.86,20.98,171.92,19.81,62064.0,2.5661e+20,3.591e+03,1.495e+00,2.318,1.0014,2.1809e+20,74.05,84.99,2.02,3.8490e+19,25.88,15.00,4.00,2.5660e+16,0.07,0.01,16.04,
160.0,450.000,75.00,25.00,25461.001,25011.001,8.839,162.7,5.773e-01,9.879e-07,63.681,56.593,934.7,1.000e+05,0.000,768.145,162.7,5.773e-01,9.879e-07,0.0,8.981e-07,1.087e-06,1.203e-06,21.7,9.55,847.2,6115.62,0.0,-9.1,10.0,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.42,46.51,42.88,13.19,28.79,171.92,19.81,62064.0,2.5661e+20,3.591e+03,1.495e+00,2.318,1.0014,2.1809e+20,74.05,84.99,2.02,3.8490e+19,25.88,15.00,4.00,2.5660e+16,0.07,0.01,16.04,
170.0,450.000,75.00,50.00,25461.001,25011.001,8.839,162.7,5.773e-01,9.879e-07,63.681,56.593,934.7,1.000e+05,0.000,768.145,162.7,5.773e-01,9.879e-07,0.0,8.981e-07,1.087e-06,9.341e-07,-5.4,9.55,961.3,1042.96,0.0,-9.1,10.0,-5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.42,46.51,42.94,11.53,27.97,171.92,19.81,62064.0,2.5661e+20,3.591e+03,1.495e+00,2.318,1.0014,2.1809e+20,74.05,84.99,2.02,3.8490e+19,25.88,15.00,4.00,2.5660e+16,0.07,0.01,16.04,
180.0,450.000,75.00,75.00,25461.001,25011.001,8.839,162.7,5.773e-01,9.879e-07,63.681,56.593,934.7,1.000e+05,0.000,768.145,162.7,5.773e-01,9.879e-07,0.0,8.981e-07,1.087e-06,1.005e-06,1.7,9.55,926.9,1042.96,0.0,-9.1,10.0,1.7,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,48.42,46.51,43.00,9.87,30.78,171.92,19.81,62064.0,2.5661e+20,3.591e+03,1.495e+00,2.318,1.0014,2.1809e+20,74.05,84.99,2.02,3.8490e+19,25.88,15.00,4.00,2.5660e+16,0.07,0.01,16.04,
190.0,400.000,25.00,25.00,25851.308,25451.308,8.472,147.3,1.265e+00,2.392e-06,33.312,29.811,894.2,1.000e+05,0.000,375.687,147.3,1.265e+00,2.392e-06,0.0,2.174e-06,2.631e-06,2.413e-06,0.9,9.55,890.3,15689.88,0.0,-9.1,10.0,0.9,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,48.42,46.51,43.06,13.20,26.00,171.92,19.81,62064.0,6.2123e+20,3.591e+03,1.512e+00,2.318,1.0013,5.2798e+20,74.05,84.99,2.02,9.3184e+19,25.88,15.00,4.00,6.2123e+16,0.07,0.01,16.04,
200.0,400.000,25.00,50.00,25851.308,25451.308,8.472,147.3,1.265e+00,2.392e-06,33.312,29.811,894.2,1.000e+05,0.000,375.687,147.3,1.265e+00,2.392e-06,0.0,2.174e-06,2.631e-06,2.159e-06,-9.7,9.55,941.1,3708.13,0.0,-9.1,10.0,-9.7,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,48.42,46.51,43.12,11.54,22.46,171.92,19.81,62064.0,6.2123e+20,3.591e+03,1.512e+00,2.318,1.0013,5.2798e+20,74.05,84.99,2.02,9.3184e+19,25.88,15.00,4.00,6.2123e+16,0.07,0.01,16.04,
210.0,400.000,25.00,75.00,25851.308,25451.308,8.472,147.3,1.265e+00,2.392e-06,33.312,29.811,894.2,1.000e+05,0.000,375.687,147.3,1.265e+00,2.392e-06,0.0,2.174e-06,2.631e-06,2.267e-06,-5.2,9.55,918.4,3708.13,0.0,-9.1,10.0,-5.2,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,48.42,46.51,43.17,9.88,33.09,171.92,19.81,62064.0,6.2123e+20,3.591e+03,1.512e+00,2.318,1.0013,5.2798e+20,74.05,84.99,2.02,9.3184e+19,25.88,15.00,4.00,6.2123e+16,0.07,0.01,16.04,
220.0,400.000,50.00,25.00,25610.195,25210.195,8.692,147.3,1.265e+00,2.392e-06,33.312,29.811,894.2,1.000e+05,0.000,375.687,147.3,1.265e+00,2.392e-06,0.0,2.174e-06,2.631e-06,2.232e-06,-6.7,9.55,925.6,9264.14,0.0,-9.1,10.0,-6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.42,46.51,43.23,13.22,12.29,171.92,19.81,62064.0,6.2123e+20,3.591e+03,1.512e+00,2.318,1.0013,5.2798e+20,74.05,84.99,2.02,9.3184e+19,25.88,15.00,4.00,6.2123e+16,0.07,0.01,16.04,
230.0,400.000,50.00,50.00,25610.195,25210.195,8.692,147.3,1.265e+00,2.392e-06,33.312,29.811,894.2,1.000e+05,0.000,375.687,147.3,1.265e+00,2.392e-06,0.0,2.174e-06,2.631e-06,2.367e-06,-1.0,9.55,898.9,2605.42,0.0,-9.1,10.0,-1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,48.42,46.51,43.29,11.55,5.56,171.92,19.81,62064.0,6.2123e+20,3.591e+03,1.512e+00,2.318,1.0013,5.2798e+20,74.05,84.99,2.02,9.3184e+19,25.88,15.00,4.00,6.2123e+16,0.07,0.01,16.04,
240.0,400.000,50.00,75.00,25610.195,25210.195,8.692,147.3,1.265e+00,2.392e-06,33.312,29.811,894.2,1.000e+05,0.000,375.687,147.3,1.265e+00,2.392e-06,0.0,2.174e-06,2.631e-06,2.449e-06,2.4,9.55,883.7,2605.42,0.0,-9.1,10.0,2.4,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,48.42,46.51,43.35,9.89,20.65,171.92,19.81,62064.0,6.2123e+20,3.591e+03,1.512e+00,2.318,1.0013,5.2798e+20,74.05,84.99,2.02,9.3184e+19,25.88,15.00,4.00,6.2123e+16,0.07,0.01,16.04,
250.0,400.000,75.00,25.00,25411.001,25011.001,8.874,147.3,1.265e+00,2.392e-06,33.312,29.811,894.2,1.000e+05,0.000,375.687,147.3,1.265e+00,2.392e-06,0.0,2.174e-06,2.631e-06,1.776e-06,-25.7,9.55,1037.5,6103.61,0.0,-9.1,10.0,-25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.42,46.51,43.41,13.23,28.84,171.92,19.81,62064.0,6.2123e+20,3.591e+03,1.512e+00,2.318,1.0013,5.2798e+20,74.05,84.99,2.02,9.3184e+19,25.88,15.00,4.00,6.2123e+16,0.07,0.01,16.04,
260.0,400.000,75.00,50.00,25411.001,25011.001,8.874,147.3,1.265e+00,2.392e-06,33.312,29.811,894.2,1.000e+05,0.000,375.687,147.3,1.265e+00,2.392e-06,0.0,2.174e-06,2.631e-06,2.468e-06,3.2,9.55,880.2,1040.91,0.0,-9.1,10.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.42,46.51,43.46,11.56,27.95,171.92,19.81,62064.0,6.2123e+20,3.591e+03,1.512e+00,2.318,1.0013,5.2798e+20,74.05,84.99,2.02,9.3184e+19,25.88,15.00,4.00,6.2123e+16,0.07,0.01,16.04,
270.0,400.000,75.00,75.00,25411.001,25011.001,8.874,147.3,1.265e+00,2.392e-06,33.312,29.811,894.2,1.000e+05,0.000,375.687,147.3,1.265e+00,2.392e-06,0.0,2.174e-06,2.631e-06,2.357e-06,-1.4,9.55,900.7,1040.91,0.0,-9.1,10.0,-1.4,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.42,46.51,43.52,9.90,30.69,171.92,19.81,62064.0,6.2123e+20,3.591e+03,1.512e+00,2.318,1.0013,5.2798e+20,74.05,84.99,2.02,9.3184e+19,25.88,15.00,4.00,6.2123e+16,0.07,0.01,16.04,
280.0,350.000,25.00,25.00,25801.308,25451.308,8.506,123.6,4.636e+00,1.045e-05,50.491,45.398,829.4,1.000e+05,0.000,503.853,123.6,4.636e+00,1.045e-05,0.0,9.496e-06,1.149e-05,9.058e-06,-13.3,9.55,890.6,15659.71,0.0,-9.1,10.0,-13.3,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.42,46.51,43.58,13.24,26.23,171.92,19.81,62064.0,2.7132e+21,3.591e+03,1.550e+00,2.318,1.0013,2.3059e+21,74.05,84.99,2.02,4.0697e+20,25.88,15.00,4.00,2.7132e+17,0.07,0.01,16.04,
